fold,diffscore_map,diffscore_p@10,ReLUdiffscore_map,ReLUdiffscore_p@10,fuse2sumscore_map,fuse2sumscore_p@10,metric_map,metric_p@10,uniform_map,uniform_p@10
1,0.26109237984200806,0.35500000000000004,0.26109237984200806,0.35500000000000004,0.27275941409699533,0.375,0.2646850931171947,0.365,0.2711542885244652,0.36500000000000005
2,0.28296636488225835,0.49000000000000005,0.2830366045099982,0.49000000000000005,0.2890661263403038,0.48,0.2848241154929914,0.48500000000000004,0.2904050286349076,0.485
3,0.23833773520158413,0.43000000000000005,0.23823693651074906,0.43000000000000005,0.22737307699098327,0.4149999999999999,0.23283229736596836,0.43500000000000005,0.22686696465749953,0.41
4,0.32470279826039655,0.43500000000000005,0.32470279826039655,0.43500000000000005,0.3085258833795289,0.38500000000000006,0.31414493684170786,0.41000000000000003,0.3071025017369679,0.38
5,0.2890400962945173,0.5250000000000001,0.2890400962945173,0.5250000000000001,0.27986525414816954,0.535,0.28077054918519884,0.5250000000000001,0.2793958338129795,0.54
