r1,weight
input.acqnt2.gz,0.4654501084188869
input.brkly8.gz,0.9549759395140098
input.cityi1.gz,0.12230912080856449
input.cityr1.gz,1.4763980162509212
input.cityr2.gz,1.02344781863611
input.clarta.gz,0.7478807389581021
input.crnlqr.gz,0.8608287072472063
input.crnlrr.gz,0.8217627191601133
input.dortr1.gz,1.0601856340094082
input.erimr1.gz,0.21327021968192383
input.eth003.gz,0.4343806187019785
input.eth004.gz,0.38855726554465964
input.fdf1.gz,0.6376267298275753
input.fdf2.gz,0.6751554957464352
input.inq103.gz,0.6417624122562078
input.inq104.gz,0.6066949593803344
input.losPA1.gz,1.1993574781033622
input.lsir1.gz,0.5006616632616687
input.lsir2.gz,1.1570677753243164
input.nyuir1.gz,0.0
input.nyuir2.gz,0.28987440388719055
input.pircs3.gz,1.143302510972866
input.pircs4.gz,1.1186483520823103
input.rutfur1.gz,0.0
input.rutfur2.gz,0.0
input.ucf101.gz,1.038872550660586
input.westp2.gz,0.41203185967076017
input.xerox1.gz,0.10579369397544891
input.xerox2.gz,0.2571683446262032
