r1,weight
input.acqnt2.gz,0.5364722681217087
input.brkly8.gz,1.3044086085403332
input.cityi1.gz,0.33816358436169924
input.cityr1.gz,1.5638306285906456
input.cityr2.gz,1.131652971724666
input.clarta.gz,0.8499209500421356
input.crnlqr.gz,0.9970525093250133
input.crnlrr.gz,0.9260860187741455
input.dortr1.gz,1.1794264014325568
input.erimr1.gz,0.409074156349849
input.eth003.gz,0.593671430388345
input.eth004.gz,0.5959082121684363
input.fdf1.gz,0.7440899888431272
input.fdf2.gz,0.7924594944439303
input.inq103.gz,1.1449725705317837
input.inq104.gz,1.1017962261043595
input.losPA1.gz,1.212803183325038
input.lsir1.gz,0.6959150816040447
input.lsir2.gz,1.471133547534066
input.nyuir1.gz,0.11992358768665135
input.nyuir2.gz,0.3874524052910502
input.pircs3.gz,1.205011316229096
input.pircs4.gz,1.2043538735260544
input.rutfur1.gz,0.38860732874959947
input.rutfur2.gz,0.3371473431827061
input.ucf101.gz,1.1245578634961024
input.westp2.gz,0.868907432112473
input.xerox1.gz,0.7091089944450264
input.xerox2.gz,0.7956770518377354
