fold,diffscore_map,diffscore_p@10,ReLUdiffscore_map,ReLUdiffscore_p@10,fuse2sumscore_map,fuse2sumscore_p@10,metric_map,metric_p@10,uniform_map,uniform_p@10
1,0.24431629732576016,0.4,0.24431629732576016,0.4,0.2347746522432082,0.39,0.2355542192550652,0.39,0.2341055207074619,0.385
2,0.2342619266844777,0.485,0.23426994781590288,0.485,0.22840058831283033,0.48500000000000004,0.22902979974517565,0.4800000000000001,0.22780258964679176,0.4800000000000001
3,0.20071764385890964,0.4250000000000001,0.20133068144106553,0.4250000000000001,0.20392286861216175,0.43500000000000005,0.20339772436843528,0.43,0.20246246496745832,0.44000000000000006
4,0.32340156869799064,0.42000000000000004,0.32351516583468765,0.42000000000000004,0.318671825221196,0.42000000000000004,0.3189493650860981,0.41000000000000003,0.31771596012315106,0.41000000000000003
5,0.2557744767456652,0.52,0.2557744767456652,0.52,0.24197345346134372,0.5149999999999999,0.24268522215224345,0.5199999999999999,0.23974890450266978,0.5149999999999999
