fold,diffscore_map,diffscore_p@10,ReLUdiffscore_map,ReLUdiffscore_p@10,fuse2sumscore_map,fuse2sumscore_p@10,metric_map,metric_p@10,uniform_map,uniform_p@10
1,0.06234289142256877,0.11000000000000001,0.2674006751755801,0.41500000000000004,0.24981697730138838,0.41000000000000003,0.25243407413610064,0.39499999999999996,0.2518778740049021,0.4
2,0.020620448315529984,0.1,0.23311275208055965,0.47000000000000003,0.22739413168832465,0.495,0.22830522178977578,0.5000000000000001,0.22744823310298018,0.495
3,0.00365499128887508,0.025,0.19255806424011265,0.39,0.20127244781987916,0.41500000000000004,0.19986580440790852,0.43500000000000005,0.2006991018954613,0.41500000000000004
4,0.05541577722305879,0.12,0.3401367422653302,0.45500000000000007,0.3248732937572164,0.44000000000000006,0.32459661527251465,0.43500000000000005,0.3233770018352729,0.43
5,0.03441745603246792,0.11500000000000002,0.26276811536650324,0.545,0.24145634801221236,0.5149999999999999,0.24046484063828283,0.52,0.23747230886097595,0.52
